Dates,Africa,Asia,Europe,North America,Oceania,South America,Grand Total
Jan-20,0,9333,17,11,9,0,9370
Feb-20,3,73839,1479,50,17,4,75392
Mar-20,5764,96833,453577,207357,5238,14507,783276
Apr-20,32993,342990,932318,968815,3085,165773,2445974
May-20,108124,618468,604180,848089,465,725850,2905176
Jun-20,258340,1166691,454380,1080957,749,1355875,4316992
Jul-20,523189,1991759,461822,2262787,9465,1870752,7119774
Aug-20,324253,2818014,767087,1825502,9645,2198437,7942938
Sep-20,229702,3555356,1448143,1500064,2735,1770572,8506572
Oct-20,303545,3046598,4860325,2308511,6089,1596084,12121152
Nov-20,388843,3077099,7424492,4945470,7624,1469423,17312951
Dec-20,586170,3101894,6515801,7261974,3307,2062868,19532014
Jan-21,809148,2398667,6661504,6992369,1759,2682420,19545867
Feb-21,327680,1909888,4065393,2856586,1006,2093284,11253837
Mar-21,319961,3484925,5629699,2221364,5889,3189288,14851126
Apr-21,340423,11017797,5048311,2404605,5845,3730133,22547114
May-21,282686,11741131,2398022,1365957,5722,3904908,19698426
Jun-21,664182,4556963,1373599,776129,5900,4095661,11472434
Jul-21,1204828,6250643,3542224,2087064,30899,2617939,15733597
Aug-21,1081053,8096119,3866711,5408099,58596,1380622,19891200
Sep-21,520504,5794362,3722347,5075439,66795,759740,15939187
Oct-21,193779,3695767,5544630,2979976,86682,602083,13102917
Nov-21,164029,2799688,9237519,2821895,51842,567585,15642558
Dec-21,1069150,2529764,14083446,6920512,219489,825025,25647386
Jan-22,1130918,15851264,38541515,22972501,2207298,8822116,89525612
Feb-22,446100,16513576,29628359,5132151,827862,5606878,58154926
Mar-22,225752,22812559,23190158,1534155,1923958,1851848,51538430
Apr-22,114022,8612636,12283948,1700278,1668275,671074,25050233
May-22,212649,4547296,5681252,3215970,1607838,948343,16213348
Jun-22,178315,3652014,7061839,3876368,1042059,1973523,17784118
Jul-22,195306,8788038,11656732,4845930,1564096,2531899,29582001
Aug-22,67092,13000810,6149268,3812319,756130,1332757,25118376
Sep-22,31668,6161677,5768912,2072979,239702,461980,14736918
Oct-22,3552,614330,1104115,187956,21830,48597,1980380
